,Date,BE,BG,CZ,DK,DE,EE,IE,GR,ES,FR,HR,IT,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,GB,NI,EU,Year,Month,Week
46,19/05/2003,252.4197,0,0,247.9402,238.1671,0,238.9967,364.9835,286.7235,273.5927,,311.3782,0,0,285.4856,0,0,234.7297,257.6356,0,343.1962,0,0,0,249.4593,263.6012,244.0959,231.9396,268.2083,2003,5,21
47,26/05/2003,255.3808,0,0,249.7508,238.5812,0,241.413,360.5427,282.9247,271.9397,,311.3782,0,0,283.3179,0,0,234.5943,255.2877,0,342.0954,0,0,0,252.6229,262.7486,242.6228,230.6831,267.6883,2003,5,22
48,02/06/2003,255.6477,0,0,249.1659,239.6843,0,241.7967,363.8789,282.1104,271.5691,,309.1866,0,0,289.4722,0,0,233.2773,255.8318,0,341.3211,0,0,0,252.7233,263.8684,245.4161,234.1958,267.789,2003,6,23
49,09/06/2003,255.9827,0,0,247.1384,237.4853,0,243.2899,362.9913,278.2003,269.9627,,312.04,0,0,282.0801,0,0,234.3913,259.0495,0,340.5503,0,0,0,253.6453,258.7534,251.9441,238.2394,268.205,2003,6,24
50,16/06/2003,256.1496,0,0,241.195,233.5089,0,242.6453,361.3907,276.0104,268.7398,,312.2001,0,0,286.2077,0,0,240.9792,259.4474,0,341.8532,0,0,0,249.3796,256.7638,253.3356,241.4491,267.1362,2003,6,25
51,23/06/2003,256.1956,0,0,241.9767,229.6545,0,241.0676,366.7853,273.3162,267.2978,,309.8408,0,0,285.1741,0,0,240.937,256.9191,0,339.4344,0,0,0,252.0611,254.6621,260.7078,244.634,266.2307,2003,6,26
52,30/06/2003,255.7849,0,0,244.5089,228.3729,0,239.6646,365.7652,273.4774,266.4115,,311.2944,0,0,284.6193,0,0,244.6855,252.8753,0,339.1499,0,0,0,252.8036,253.8008,261.4446,246.0742,266.1296,2003,6,27
53,07/07/2003,255.8873,0,0,242.3683,226.8673,0,240.1105,363.3,277.0943,266.1298,,316.3461,0,0,286.5607,0,0,232.3386,253.2688,0,337.5648,0,0,0,252.1641,254.7824,258.8229,245.6957,266.7079,2003,7,28
54,14/07/2003,255.6957,0,0,243.9734,228.5915,0,240.4366,364.4405,275.4443,265.4225,,314.4572,0,0,284.6628,0,0,231.013,252.3533,0,334.5521,0,0,0,253.8253,253.0937,257.6753,243.437,266.1734,2003,7,29
55,21/07/2003,255.7624,0,0,245.6541,230.6416,0,240.0243,366.8171,275.3573,266.0514,,314.9142,0,0,278.0788,0,0,232.0643,252.6199,0,331.5778,0,0,0,254.5865,253.0874,253.5198,240.1647,266.1745,2003,7,30
56,28/07/2003,256.1077,0,0,243.4915,230.8798,0,239.8586,365.6963,278.0706,266.2157,,312.9468,0,0,291.6212,0,0,236.0062,253.1788,0,328.2586,0,0,0,254.9115,252.9921,256.3875,242.9601,266.5074,2003,7,31
57,04/08/2003,256.7615,0,0,243.9376,229.8889,0,238.0754,368.9658,277.9295,266.7409,,311.0084,0,0,279.3259,0,0,238.9943,253.131,0,327.4969,0,0,0,251.7335,253.3517,255.163,244.4614,265.7556,2003,8,32
58,11/08/2003,255.1174,0,0,245.6922,227.9099,0,238.1299,369.155,277.9915,267.238,,311.0084,0,0,279.3915,0,0,234.7563,251.8253,0,326.2086,0,0,0,254.4271,252.8139,253.3895,243.9728,265.1987,2003,8,33
59,18/08/2003,254.7997,0,0,243.4839,226.1556,0,238.0635,366.6605,277.9125,267.5444,,310.2136,0,0,279.3915,0,0,232.6263,253.0318,0,325.5053,0,0,0,252.2275,252.0605,259.3631,248.1638,265.3551,2003,8,34
60,25/08/2003,254.9356,0,0,242.692,226.5308,0,237.5694,369.3886,278.0331,268.3894,,308.5046,0,0,282.7056,0,0,229.2675,252.4649,0,323.7118,0,0,0,251.6354,252.3134,260.7324,249.7169,265.2663,2003,8,35
61,01/09/2003,254.8436,0,0,243.7401,229.6182,0,235.5009,369.9175,278.6668,269.0492,,310.2938,0,0,282.6776,0,0,234.9288,253.268,0,324.5088,0,0,0,250.9542,248.8955,257.6571,245.9743,265.7396,2003,9,36
62,08/09/2003,255.6619,0,0,242.6485,234.1053,0,231.616,366.8386,278.3193,269.0828,,308.2594,0,0,289.5986,0,0,228.935,256.4088,0,325.3242,0,0,0,253.4859,246.7866,254.4916,240.6987,265.2159,2003,9,37
63,15/09/2003,256.6534,0,0,244.919,237.7055,0,227.8044,366.7982,277.0599,269.8865,,311.9088,0,0,281.6036,0,0,234.0902,258.7497,0,325.0441,0,0,0,253.7426,246.4257,254.2554,237.7746,266.2451,2003,9,38
64,22/09/2003,256.549,0,0,246.4126,237.7752,0,228.1754,366.4325,276.2471,269.7901,,311.9088,0,0,286.806,0,0,236.5001,259.761,0,323.2286,0,0,0,253.9437,249.8834,255.2082,238.3734,266.4641,2003,9,39
65,29/09/2003,255.3184,0,0,248.0166,234.5656,0,229.556,365.9238,275.9623,269.8546,,310.1239,0,0,288.3287,0,0,229.906,258.9102,0,325.6203,0,0,0,249.4012,243.4532,253.3789,235.1479,265.1045,2003,9,40
66,06/10/2003,252.8996,0,0,244.4339,232.0692,0,231.3937,368.9371,275.5366,269.8378,,310.6771,0,0,283.4006,0,0,228.6707,255.6168,0,324.2115,0,0,0,250.4478,243.6651,250.53,233.3008,264.3342,2003,10,41
67,13/10/2003,252.2783,0,0,242.713,230.0879,0,231.7107,370.4886,274.9211,269.9192,,313.3337,0,0,281.776,0,0,233.6346,251.3189,0,323.3061,0,0,0,251.9142,237.7015,252.5311,236.6815,264.5424,2003,10,42
68,20/10/2003,251.4945,0,0,245.446,231.9009,0,233.3031,368.2857,272.2613,269.8856,,310.5157,0,0,283.5115,0,0,234.7854,251.2378,0,320.9694,0,0,0,250.8799,230.9023,254.2029,238.5807,264.2092,2003,10,43
69,27/10/2003,250.0872,0,0,244.4132,234.5577,0,233.9977,368.3817,272.6315,270.3205,,310.9692,0,0,283.3984,0,0,237.1611,255.589,0,320.4925,0,0,0,248.3217,230.4259,257.5405,243.3807,265.4325,2003,10,44
70,03/11/2003,251.9662,0,0,243.2958,235.1384,0,233.6318,367.6834,274.6182,270.2961,,310.9207,0,0,279.5868,0,0,235.0918,257.4206,0,319.9626,0,0,0,249.4485,224.2879,261.5334,246.6106,266.1173,2003,11,45
71,10/11/2003,251.8752,0,0,245.8954,233.9571,0,234.8718,367.0341,275.1673,271.8684,,316.4376,0,0,280.3121,0,0,238.1328,258.1068,0,318.6491,0,0,0,252.8329,221.9149,262.4926,246.1598,267.5662,2003,11,46
72,17/11/2003,249.9223,0,0,244.5421,229.8798,0,236.5061,369.2178,276.9295,273.2402,,321.0242,0,0,283.2753,0,0,237.8195,257.7151,0,315.3524,0,0,0,251.479,216.9593,262.0582,246.1666,267.9844,2003,11,47
73,24/11/2003,250.2142,0,0,245.0736,224.801,0,239.3286,369.6311,279.4331,273.4565,,311.8928,0,0,286.0226,0,0,239.4092,253.6798,0,314.8965,0,0,0,247.0502,219.6461,265.6211,249.9977,266.3162,2003,11,48
74,01/12/2003,249.9955,0,0,243.4611,220.2151,0,243.8338,368.7191,281.8614,272.0013,,308.9042,0,0,281.6449,0,0,237.1733,249.0617,0,314.6484,0,0,0,247.307,220.8682,266.0134,250.1728,265.3421,2003,12,49
75,08/12/2003,249.4074,0,0,237.4997,219.6978,0,246.2126,369.6298,282.3262,271.5575,,306.8887,0,0,288.2534,0,0,230.878,246.6116,0,314.2799,0,0,0,248.4513,221.2347,264.7314,248.3689,264.6405,2003,12,50
76,15/12/2003,248.4261,0,0,241.393,221.6403,0,248.1618,368.8693,282.8783,271.3508,,301.6703,0,0,269.4976,0,0,233.077,248.3083,0,314.5639,0,0,0,251.5079,218.5909,264.681,248.1623,264.3152,2003,12,51
77,22/12/2003,247.9536,0,0,228.4182,227.014,0,248.1618,366.5294,283.9903,272.5514,,306.3648,0,0,284.2447,0,0,229.0401,253.9703,0,313.4199,0,0,0,246.6334,216.1742,265.6472,249.8226,266.1757,2003,12,52
78,29/12/2003,248.3527,0,0,242.6276,231.3886,0,254.1358,366.3173,284.822,273.4393,,307.4938,0,0,287.2727,0,0,237.6091,256.6899,0,314.0955,0,0,0,247.3257,217.8358,267.1588,250.9224,268.7835,2003,12,1
79,05/01/2004,246.349,0,0,238.9085,238.0644,0,253.0928,367.2736,286.6847,276.0615,,308.238,0,0,278.1556,0,0,235.0721,257.2581,0,315.8847,0,0,0,246.1647,223.0371,268.9796,251.5599,270.7122,2004,1,2
80,12/01/2004,246.4915,0,0,238.1308,241.1214,0,254.2406,366.9163,290.596,277.329,,310.8824,0,0,287.5245,0,0,232.1519,260.1684,0,318.3861,0,0,0,247.7969,228.1403,272.2567,256.1814,273.1505,2004,1,3
81,19/01/2004,245.2305,0,0,237.3137,240.7567,0,255.7159,367.0912,291.8803,277.1366,,305.777,0,0,283.9681,0,0,227.2426,257.8179,0,318.107,0,0,0,245.7194,229.2444,272.0251,258.108,272.1736,2004,1,4
82,26/01/2004,243.5986,0,0,240.0232,242.2592,0,257.0408,367.8919,292.3289,277.2911,,309.7954,0,0,284.1408,0,0,230.1484,252.4395,0,318.4304,0,0,0,245.9062,228.7814,272.9867,260.0266,273.4836,2004,1,5
83,02/02/2004,242.165,0,0,238.8523,246.5686,0,259.7167,367.0495,292.1481,278.1952,,308.5215,0,0,279.4613,0,0,233.5872,250.5883,0,317.6188,0,0,0,246.69,233.2249,273.8367,260.877,274.4801,2004,2,6
84,09/02/2004,241.4062,0,0,238.1898,251.2457,0,262.2741,367.8635,290.835,278.083,,308.6452,0,0,282.1843,0,0,240.9789,251.1854,0,317.9022,0,0,0,247.4653,235.9025,275.9461,261.2327,275.8414,2004,2,7
85,16/02/2004,239.9201,0,0,239.2625,251.9603,0,265.4403,364.7365,288.251,278.7996,,306.2404,0,0,282.4168,0,0,242.4933,252.7126,0,318.3382,0,0,0,248.1271,234.1132,278.2252,263.0673,275.8941,2004,2,8
86,23/02/2004,238.9942,0,0,237.9061,251.6784,0,265.9765,367.9125,286.5474,277.1674,,306.8176,0,0,278.3554,0,0,235.7656,252.7683,0,316.1042,0,0,0,247.0807,237.9103,279.1106,264.4556,275.6612,2004,2,9
87,01/03/2004,238.696,0,0,240.0531,253.3304,0,263.7574,366.7253,284.8985,276.7723,,307.788,0,0,280.8791,0,0,232.7692,253.2889,0,316.6676,0,0,0,247.1779,236.7558,281.0002,263.6213,275.8615,2004,3,10
88,08/03/2004,239.5638,0,0,244.6443,255.1979,0,261.3401,369.474,283.533,276.9417,,308.574,0,0,282.4205,0,0,238.2037,252.8529,0,317.6363,0,0,0,247.3972,238.4874,278.2646,260.8763,275.8967,2004,3,11
89,15/03/2004,239.2413,0,0,245.6805,255.1305,0,263.2358,367.0031,281.4759,275.4612,,310.6391,0,0,282.4205,0,0,240.9513,255.0136,0,314.3314,0,0,0,248.7713,236.3646,276.4646,259.5932,275.8427,2004,3,12
90,22/03/2004,238.9271,0,0,243.4556,253.2272,0,265.6335,369.0454,279.679,274.8352,,310.8457,0,0,282.2978,0,0,240.9365,254.3892,0,314.1477,0,0,0,249.5672,237.4258,282.9795,262.5245,276.2814,2004,3,13
91,29/03/2004,238.3017,0,0,242.9053,251.2296,0,267.4678,363.4352,278.1059,274.7706,,313.4756,0,0,285.5298,0,0,243.6737,251.3566,0,314.6298,0,0,0,244.9893,236.477,284.5046,264.4448,276.4019,2004,3,14
92,05/04/2004,237.7613,0,0,246.9874,250.6441,0,269.0113,368.8953,279.1744,274.2073,,316.6393,0,0,287.3396,0,0,241.6579,250.0458,0,312.4197,0,0,0,246.9256,237.9629,288.8211,266.9281,277.7878,2004,4,15
93,12/04/2004,237.3141,0,0,247.33,251.456,0,271.4081,367.3906,278.2486,272.2907,,313.4526,0,0,282.8907,0,0,239.2483,249.9087,0,311.5225,0,0,0,247.954,238.1807,289.7958,270.992,277.3356,2004,4,16
94,19/04/2004,236.5802,0,0,248.6323,251.0753,0,273.0332,367.4592,279.3955,271.3808,,307.3017,0,0,285.5481,0,0,243.536,249.5121,0,312.1243,0,0,0,247.2435,244.9741,288.6001,271.6708,276.3642,2004,4,17
95,26/04/2004,233.956,0,0,251.3079,247.169,0,275.319,368.538,278.9914,271.886,,309.6329,0,0,281.9474,0,0,231.8687,249.5383,0,310.1852,0,0,0,249.4967,246.3624,287.739,271.407,276.1702,2004,4,18
96,03/05/2004,243.3743,0,205.6641,240.5947,245.7307,0,272.3119,367.6324,280.1272,275.5142,,314.0415,121.2271,0,277.2761,202.1699,320.0309,240.4434,248.3709,155.006,306.5284,0,222.8555,196.6899,265.4935,244.368,288.406,271.4954,271.3241,2004,5,19
97,10/05/2004,241.7065,0,206.1165,240.8068,246.1409,0,272.7957,369.0797,277.2957,275.6716,,313.9179,125.5055,0,272.3677,192.4452,320.7186,239.7553,249.3622,160.2728,305.7635,0,222.0541,195.4933,267.4686,243.8971,289.2907,274.6326,271.3903,2004,5,20
98,17/05/2004,241.0474,0,208.382,240.6193,250.9759,144.5096,273.3365,366.7846,275.7101,274.5743,,314.3139,134.6299,0,286.8906,189.8192,320.1597,237.126,251.576,164.6817,304.3767,0,221.6676,196.0476,274.8676,244.1908,289.0296,277.437,272.1083,2004,5,21
99,24/05/2004,240.9339,0,209.7419,240.0993,255.0613,134.8757,275.4387,368.2809,272.8068,274.861,,315.5266,120.067,0,280.0317,189.7617,320.4496,240.3374,255.7804,171.7026,302.3617,0,220.0658,196.7757,263.9839,244.2298,291.9978,289.9736,273.4221,2004,5,22
100,31/05/2004,240.8864,0,213.7345,244.1983,255.817,0,277.7735,368.4248,273.4397,276.9956,,318.9581,132.1146,0,276.5374,197.8624,321.8994,239.4992,257.0937,179.9848,299.0029,0,220.5494,196.9913,272.4231,245.1144,295.8452,292.9252,276.0299,2004,5,23
101,07/06/2004,239.473,0,214.8028,244.0069,255.6064,161.3369,280.0796,366.3651,270.6913,278.663,,322.1634,136.5366,0,292.8364,200.317,322.1697,232.2955,257.7957,191.9538,292.777,0,222.2933,199.9615,274.8227,242.9246,298.7913,293.146,276.9644,2004,6,24
102,14/06/2004,239.1953,0,213.178,243.424,255.3277,0,281.8613,372.9951,271.5055,279.4463,,321.6192,140.3119,0,291.0602,203.7226,322.8745,238.3937,258.1021,198.686,291.0157,0,227.9492,196.5364,276.4264,240.649,301.5191,289.4334,277.8764,2004,6,25
103,21/06/2004,238.1271,0,213.4275,252.1905,255.0633,0,282.5571,367.832,270.8917,278.7543,,316.1249,141.8494,0,272.0579,204.3995,322.2779,236.0954,257.2523,200.4786,285.1099,0,228.852,204.3376,272.5254,244.3516,303.0859,283.1166,276.7698,2004,6,26
104,28/06/2004,237.4401,0,215.7295,254.7279,254.2701,0,280.017,364.447,268.329,278.049,,314.2784,136.2542,0,276.3821,217.3759,321.7159,234.4894,258.3107,198.8922,284.059,0,231.8104,207.4896,276.8656,243.2797,301.7373,280.5258,275.5941,2004,6,27
105,05/07/2004,237.2917,0,215.9775,252.8607,254.975,0,275.2274,367.6904,268.9826,277.6365,,316.2287,143.3782,0,276.4303,220.7252,321.3817,237.7188,258.7531,196.0894,283.232,0,235.0689,207.7869,275.8529,243.5457,303.0717,280.5288,275.807,2004,7,28
106,12/07/2004,237.1788,0,220.717,252.7813,255.5472,0,270.9375,365.6953,264.4404,278.2224,,310.1507,153.2354,0,276.4641,227.5856,321.4787,247.3794,258.7687,186.7392,277.2263,0,240.8487,208.8869,273.7888,245.0813,305.1627,280.2723,273.9137,2004,7,29
107,19/07/2004,236.9413,0,223.0987,254.2322,257.4997,0,267.5217,365.9475,266.7893,277.9753,,307.6013,142.3425,0,277.6191,226.8373,321.7698,233.6909,260.9958,184.2209,271.689,0,244.7374,208.776,280.9877,241.45,306.5479,278.3263,273.5849,2004,7,30
108,26/07/2004,236.2411,0,220.2254,255.6188,260.0887,176.6229,263.7751,366.9246,267.127,279.462,,306.1947,145.8767,0,272.7659,233.1661,322.4512,238.2159,262.2506,184.8895,269.9394,0,245.7186,208.3705,276.7269,241.5946,308.5861,278.3786,273.6557,2004,7,31
109,02/08/2004,235.8022,0,219.212,253.451,261.9158,0,262.5857,362.9954,266.2274,281.3628,,307.4422,139.815,0,281.5096,223.354,325.7342,242.4344,263.9826,188.8069,270.626,0,245.0985,209.3741,281.5609,242.6353,308.5805,278.7124,274.5551,2004,8,32
