STATISTIC,Statistic,TLIST(A1),Year,C02196V02652,State,UNIT,VALUE
TSA04C2,Exports of Beef,2008,2008,-,State,000 Tonnes,309.3
TSA04C2,Exports of Beef,2009,2009,-,State,000 Tonnes,301
TSA04C2,Exports of Beef,2010,2010,-,State,000 Tonnes,319.4
TSA04C2,Exports of Beef,2011,2011,-,State,000 Tonnes,338.8
TSA04C2,Exports of Beef,2012,2012,-,State,000 Tonnes,298
TSA04C2,Exports of Beef,2013,2013,-,State,000 Tonnes,300
TSA04C2,Exports of Beef,2014,2014,-,State,000 Tonnes,344.4
TSA04C2,Exports of Beef,2015,2015,-,State,000 Tonnes,320.4
TSA04C2,Exports of Beef,2016,2016,-,State,000 Tonnes,365.1
TSA04C2,Exports of Beef,2017,2017,-,State,000 Tonnes,371.1
TSA04C2,Exports of Beef,2018,2018,-,State,000 Tonnes,373.9
TSA04C2,Exports of Beef,2019,2019,-,State,000 Tonnes,388
TSA04C2,Exports of Beef,2020,2020,-,State,000 Tonnes,388.5
